Ammonia (ppm),CO2 (ppm),Temperature (°C),Humidity (%),Egg Production (eggs/hen/day),Egg Production Category
6.769046293,430.8476111,28.04832007,68.17891714,7.883113416,High
40.97346795,1440.300543,31.27814367,76.78487527,3.404381484,Low
33.25551753,1696.141015,22.10096839,53.50012406,5.796314728,High
8.679156438,715.9135928,25.22411923,57.63842329,7.615638984,High
44.31103808,1016.211499,25.84323747,83.58183853,4.995012461,High
46.43925802,1726.026873,27.66943619,55.44326005,3.61887974,Low
7.748508193,1791.104795,33.9361454,67.31547857,2.60244411,Low
17.45949417,713.4059664,33.1144484,75.1319732,4.294878332,High
41.27905759,1235.970079,22.01788238,89.99624134,5.982510569,High
38.67168607,627.2383561,22.59184478,61.76456657,7.295915794,High
13.30344587,473.193899,25.36460824,61.40464383,8.168044106,High
14.42071955,1848.904852,24.36115799,82.12941897,5.150372209,High
21.67124463,1694.862757,29.2215643,80.27515556,4.615040305,High
26.80353433,1592.059333,33.54164072,76.55379409,3.213017101,Low
32.82146472,382.902742,34.43437313,63.16148187,4.08090286,High
21.60111378,1734.338948,29.80404429,56.19695601,3.819717403,Low
25.81406223,1044.674929,32.57238802,70.43652413,4.564502276,High
38.63619222,882.0717096,27.878033,83.81116466,5.265381894,High
6.65074413,1229.009814,23.1249042,84.18887291,7.267465466,High
16.3596625,455.3005126,27.87032618,45.42491725,7.133019548,High
37.10073136,1586.299134,28.32623902,61.41751419,3.604873151,Low
45.2843077,1290.139631,31.13686346,63.23609781,2.991340575,Low
28.0254849,617.2031647,23.29824485,88.88076838,7.43572777,High
28.94510684,619.9947396,25.52465573,73.89990076,7.729224022,High
9.82274051,613.2227077,25.46041204,60.36232086,7.793607413,High
25.13355651,396.9040588,34.39159394,41.3028943,4.992960366,High
28.96777699,1299.257364,26.6591744,68.269258,5.235665703,High
15.91117266,1728.591902,31.32640951,44.80379878,4.669128225,High
17.11594539,329.7469638,31.26217072,81.72249787,5.448166146,High
21.97778734,383.3078965,23.98316277,77.62593303,8.813844423,High
5.9032039,1273.70947,28.57804534,63.025458,5.937482421,High
19.49356245,1693.142665,33.4145434,61.46053898,2.718302746,Low
14.51516031,855.456114,27.12796579,84.86694828,5.62750641,High
19.73738085,894.344478,34.17676261,54.42291752,4.936215255,High
10.38929593,1313.789046,23.21687344,52.45099811,7.45328952,High
45.07372763,766.1619115,21.11238659,86.95987164,6.926429128,High
31.71166041,345.2342223,33.3718081,80.46229184,4.352754398,High
35.55960436,1549.888481,32.71521797,81.03127965,2.227503819,Low
40.51270574,1363.604852,34.88884814,49.75969071,2.24201613,Low
27.42989895,1287.285198,30.19090232,47.16479957,4.703071415,High
8.911412964,1560.863019,34.0503189,41.30147749,3.75680193,Low
29.16979438,1447.892424,32.40423538,51.85207545,2.820322831,Low
31.40785031,649.9993799,32.666395,78.70952459,5.819749607,High
38.54477634,899.2177798,28.53712356,52.00192094,4.691448014,High
24.42467958,514.3872409,25.73546897,76.45516418,7.290977069,High
10.74111363,520.7569228,34.01837109,52.59541327,4.977996967,High
17.76991576,1449.532769,26.48175763,59.7646249,4.774095168,High
21.33870334,1759.620182,28.08229051,89.1581145,3.954888273,Low
34.06627586,1936.645393,26.69171461,52.24058656,4.158253102,High
30.68502371,1368.1901,28.47227471,58.81853136,5.34206507,High
21.02435267,612.9722497,27.05757618,55.05435902,7.404251252,High
49.3931862,479.6055873,20.71951338,45.48124932,8.070745156,High
32.25986687,1681.846652,33.23072279,64.49470711,1.989402252,Low
15.67520563,1283.88601,26.66590728,58.93453317,6.919510885,High
9.580211268,1351.084536,28.83415473,74.74435429,5.838112484,High
11.87866126,1628.485551,22.08781704,80.87972735,5.981991437,High
16.06809778,1495.571287,20.05081772,67.21248572,7.564939371,High
12.2306618,1718.57903,23.6793514,41.6098211,6.787333123,High
13.39551608,395.5636393,30.56879048,70.94611781,6.476710588,High
17.82928259,1570.785082,21.48791795,42.7695365,7.751124833,High
12.80181179,1746.449687,33.63331161,70.81781618,3.4765268,Low
45.35444411,786.4295722,23.22533854,74.25149746,6.31154429,High
8.610518555,1388.760366,23.06890421,49.88838138,7.433079826,High
28.60301253,834.0755085,22.72261942,80.96730744,7.915045612,High
23.46785721,1928.550813,20.20972569,85.55425658,6.361922119,High
49.20703776,356.8200731,31.57708203,80.65434821,4.475976588,High
10.0417506,1285.647835,33.12551797,55.25545951,3.769247701,Low
22.90350196,583.05603,29.21244054,69.33215062,6.410337721,High
48.6261695,1510.774349,22.82299973,85.74075746,5.034469493,High
43.94782067,599.0134818,24.27916995,56.03323631,5.522905476,High
41.76824319,700.1515452,27.13890046,81.00139111,5.575521514,High
16.60562722,1140.430379,34.31518927,40.47375656,4.276479975,High
12.68994143,1855.219415,23.71027058,40.18233514,6.327909082,High
35.0889449,659.9144327,30.97468856,77.98558302,4.319915186,High
46.82191951,545.2080359,26.59172335,78.07237911,5.655428721,High
30.05433019,1590.260614,24.46771023,79.44885939,5.783467795,High
30.72257103,1151.053205,26.83873906,86.50134189,4.856917235,High
17.59905921,1850.034691,21.06810076,45.89531559,7.364427896,High
39.62718199,549.2447472,31.98031056,51.59924925,4.590907642,High
13.41696869,1398.077418,23.64952892,85.18624602,6.813791229,High
19.56556564,695.8945485,30.88118185,48.86180989,6.089169797,High
24.14463974,566.4927287,21.02522557,74.11146338,8.745998031,High
27.84246704,1461.830006,34.32647834,66.52315,2.759386762,Low
15.90843796,1309.263854,22.89522478,44.15968384,7.855101899,High
10.16765711,1583.206679,33.24113114,54.2631831,2.683808222,Low
32.47790191,826.08638,32.14209814,66.01861082,3.751017828,Low
17.9883749,1061.551816,34.51789886,82.61750583,3.878298097,Low
31.15571996,989.3018498,27.16835991,75.37692448,4.483794661,High
11.94632219,1972.952089,30.91095941,71.09415807,3.196318552,Low
26.65130458,796.8232265,25.56065986,64.8016445,6.782387051,High
28.96652446,801.1893052,22.76552357,54.93419919,7.306884043,High
7.332059157,902.731955,26.64613899,45.96224557,7.269065821,High
20.14719252,1259.809938,22.48623523,60.45380173,7.353864994,High
11.04866046,728.9486652,34.73066934,41.4259247,5.946597828,High
7.851873671,1855.992899,21.44369737,50.55279446,6.672030729,High
49.54821046,751.6654603,28.83817585,61.62416879,4.547793327,High
19.50592302,1822.886744,29.39695783,60.93025928,3.675607341,Low
41.44435006,475.9076082,28.07119314,42.21477155,5.199624031,High
16.45882946,1416.156594,29.93278829,69.45300768,4.746704595,High
35.6676225,1841.875381,21.74271163,67.48421279,5.827729242,High
39.2102537,586.8740453,28.32527786,43.9052152,6.698373165,High
31.80374333,1946.155832,24.30818857,87.15815262,3.746498359,Low
26.22092848,1069.901713,34.10264095,44.96913895,3.493126062,Low
23.53284114,1907.715684,31.4310748,82.74170756,2.634572757,Low
20.69907199,1450.594074,34.58771723,40.0154866,4.001870194,High
46.82881149,812.6976788,20.56334105,84.11405475,6.959305883,High
42.37787335,620.1142924,24.27699763,40.98598661,7.382711045,High
48.42621098,816.3495786,22.9313388,77.89060159,6.779692086,High
10.59337506,458.1295957,20.16731881,58.08454057,9.672617322,High
37.88903638,544.5755428,23.63488595,76.91084001,6.977729466,High
47.22532056,477.9227486,30.18163975,60.08726027,5.9439541,High
13.15548798,1019.004024,23.46633383,43.54539612,7.995003919,High
7.992332032,1652.48324,27.63505168,78.37533477,4.503726236,High
38.35042922,540.3520422,33.31727172,43.56263427,4.500662204,High
30.85129009,521.5447364,30.40636881,86.1060218,4.801225019,High
42.88229495,1393.829214,25.91943605,42.54870179,5.320003266,High
11.28975695,635.2110693,25.58703408,63.96626389,7.461681009,High
40.78702903,465.9370648,26.83603721,76.15172154,6.290445951,High
14.0732294,583.6425829,22.65562162,59.66232324,8.471087805,High
12.36451743,1870.343373,29.51001151,50.86167373,3.409161185,Low
12.39196091,1696.50113,25.46229229,77.95454807,5.642930941,High
41.65586241,901.909756,32.78548024,79.21473524,3.467680432,Low
34.93387493,1414.895304,31.3482899,86.1347492,3.255212598,Low
28.53794411,1213.368645,29.15769746,58.80825552,4.586397545,High
21.14737179,1451.111248,25.46303334,65.31258672,5.405474941,High
44.47402434,1460.540959,23.14897748,58.15642214,5.648128609,High
22.66002983,1368.847826,31.64227796,52.85409109,5.039047433,High
41.74697478,752.3723265,27.29613648,77.55164808,5.373616706,High
24.76107089,366.3109153,23.37125057,56.98259225,8.790590156,High
21.96249932,1074.463529,22.92761923,61.4074721,7.185718923,High
25.82059036,1814.655604,22.48101357,60.18368288,5.059866285,High
18.56200434,1268.145339,31.65741794,75.63306128,4.709437205,High
38.64242211,1715.064771,23.43480778,85.88978131,5.043718512,High
27.62241755,1985.761383,27.89963395,73.33780307,3.866097122,Low
15.44957128,578.147547,26.77319541,63.5791298,7.376712402,High
45.4808558,1476.021987,28.69416349,78.96025574,3.584987126,Low
22.27510496,1446.299075,33.15732351,72.04856621,3.752359124,Low
29.45987875,1965.924261,33.01621085,43.03051786,3.339763271,Low
45.79124499,1975.521248,26.76614108,44.78317932,4.028152398,High
33.09070982,1467.35364,20.23049376,41.8958472,7.235602769,High
10.26041183,714.1451464,26.39665709,62.84081631,6.928749036,High
47.29244556,1657.544925,29.09290306,81.29267172,2.744392668,Low
33.24686239,481.9495282,28.36647139,55.65415847,6.579021937,High
20.07075266,1627.188817,29.77004159,59.20800915,4.681426961,High
11.26724327,1847.333411,22.31113599,85.47385542,6.71609904,High
40.73113352,950.8167711,29.69802648,81.84517227,4.167923136,High
32.90327402,1372.080001,22.73977428,73.25240562,7.074189494,High
29.00574914,1031.242645,31.25785971,53.3401891,3.863422049,Low
45.22516624,1044.200593,25.0863142,45.85207413,6.117075695,High
40.48687451,827.6305115,30.6484315,40.80294113,4.610546783,High
11.82536959,1595.620355,20.71798398,45.35053363,6.841473944,High
19.02749305,1891.500159,26.11790038,54.62982218,4.936771282,High
16.18201129,1899.276461,30.57551783,67.58950318,2.839314751,Low
38.47758317,597.1281843,23.40305774,43.20000414,7.616233118,High
6.508959563,1787.064204,31.92930567,46.81138892,4.302788757,High
30.64503582,1553.63345,29.461696,49.05403512,4.800162512,High
39.31064086,729.8235812,28.81342658,71.59910465,4.44501816,High
44.45445365,414.383842,25.30323281,70.78948995,7.095972573,High
20.39367869,755.5953537,27.23677206,67.53828632,6.69636824,High
41.95657871,1850.754003,28.96023951,52.52507123,3.676514357,Low
9.978428163,1376.403747,27.08693171,58.55598456,5.935196306,High
43.09035313,1525.792924,30.47469986,44.83448582,2.788674529,Low
10.7369898,737.1589969,26.505454,51.32303019,7.10198605,High
22.87792808,1522.959864,23.03409773,84.88526132,5.256345596,High
40.87829146,347.8065607,23.20900674,88.98458732,7.456985613,High
11.74628423,938.0462878,20.08705653,72.38297928,9.501277679,High
15.31631279,1365.480693,24.51436573,85.8411646,5.8496142,High
37.50136558,548.3641614,31.23376461,72.13709502,5.229899765,High
37.40164414,1699.106077,31.91244063,41.65982431,2.263055935,Low
33.85164348,699.553208,23.03701313,89.83812925,6.99060551,High
36.22768,1408.877892,34.38565995,44.94761508,3.190491237,Low
29.42259995,988.8351424,27.5360419,74.13209007,4.783682958,High
16.33095765,1313.274112,33.75468124,52.64181015,3.975721585,Low
20.55631971,482.6659395,30.60147923,59.59905565,6.692385825,High
13.17189726,328.7517599,30.83650135,72.29670924,5.220131705,High
45.88027526,1846.259527,21.27565432,61.82436747,5.76201007,High
31.25263076,758.3710149,23.2998669,52.52730295,7.75695999,High
23.03831375,1693.450905,20.1322225,56.72230934,7.34543339,High
25.79026116,1998.895511,30.74191461,57.07740585,2.842213782,Low
47.62775028,659.4331386,25.16657433,87.96619523,4.829088765,High
11.90081314,750.79026,31.79978774,79.9306508,5.731860963,High
31.38034244,1426.861639,25.0840433,62.92743857,5.452202676,High
27.76499055,1941.262679,32.29000628,49.99104602,2.758460037,Low
32.51544059,1856.884392,21.96047381,80.55080551,5.705104427,High
5.814958272,1154.888384,22.60059735,47.85912358,8.743145578,High
44.2455759,1651.68748,25.11314809,50.52311086,5.600558308,High
46.94532271,530.7679503,26.12731083,58.30066959,6.363918436,High
30.43099326,1961.644913,25.23054216,84.01740979,3.660043447,Low
36.34928707,1939.400498,31.45470549,46.58933343,2.541327912,Low
46.51247215,578.3392284,21.45427089,46.11170964,8.067014162,High
36.82573854,809.0193122,25.26825529,64.69874942,6.874151131,High
11.86425693,470.2634958,32.55859999,53.82052705,5.588752647,High
30.93297621,761.9199181,21.00195616,68.43639708,7.964465372,High
32.30217709,1687.124842,34.13515262,62.58183423,3.023229821,Low
24.08588021,943.1365322,34.79475263,61.74795532,3.815943593,Low
38.1399906,450.2748441,21.32852261,45.59864852,9.047426956,High
47.04651566,881.7833921,24.36908783,47.05248451,6.578890156,High
46.65058308,1968.351668,25.58600999,81.05392887,3.611816238,Low
25.28777171,1370.462112,31.64587053,84.29413688,3.110163023,Low
10.09571206,1007.473609,28.93890218,51.73417664,6.061212157,High
49.31785395,583.1154729,29.66548551,45.67302508,5.264906149,High
42.75041389,1976.500555,31.36264734,42.6708336,1.581156426,Low
10.60982065,1695.443316,21.76968499,70.41488069,6.704548921,High
46.43788472,778.5114142,32.49814185,75.76766063,3.682725496,Low
44.14533629,419.1167827,30.58429706,58.64049946,6.198718315,High
28.34771257,396.2634475,28.66012588,73.98379337,6.61373294,High
31.60739461,504.6428542,33.34603002,75.64794078,4.906190975,High
22.95512167,1287.306592,30.50459531,86.76711407,4.673147782,High
7.464273747,1878.897816,23.02549944,43.24368189,6.314138416,High
20.08387587,1144.463828,26.44618072,49.61458616,6.398191282,High
41.12840519,1733.00732,27.410643,43.42629938,5.298552507,High
5.208441035,1058.007254,20.8282644,83.39969667,8.367529076,High
20.00746273,1504.592028,34.3195627,79.629358,3.360202212,Low
22.91759121,1544.183653,21.92865891,68.73210353,6.994382327,High
29.18280213,595.7383,30.46191901,44.1831705,5.288087324,High
46.39350274,914.0673003,27.59346554,53.66561793,5.35607788,High
20.58556975,1383.413666,20.38448375,54.8859924,7.764202944,High
20.61289409,420.1842339,33.87121214,68.0371598,5.471859384,High
38.18755616,914.6183192,32.77755213,52.9021947,3.69301978,Low
25.34980734,1209.159093,27.86386892,43.6479932,5.223611152,High
15.10721703,1993.581638,23.43413504,76.53811509,5.158468058,High
25.35977823,1106.707056,21.82434336,54.95401058,7.523316258,High
11.33856592,1687.296487,25.45088719,62.61870885,6.463330619,High
12.93741439,1034.514385,23.83142422,46.38333175,8.815662021,High
27.42654977,1653.864228,27.60036802,80.12741517,4.83658427,High
23.85164523,1312.205163,34.49613944,68.27659385,3.598726309,Low
46.16806555,1807.212251,28.6243024,85.07928131,1.986125745,Low
21.30772546,998.602339,33.34896584,64.77357815,4.132799647,High
31.12647576,1327.317514,29.76318256,87.07128359,3.92362377,Low
33.45189296,1371.031757,27.1286979,84.59341022,4.138644745,High
5.589250546,1009.551001,32.81911344,68.82299282,5.467844408,High
34.85918174,545.3304743,27.07052165,86.69467191,6.371573085,High
13.01161851,459.0509918,33.02942256,56.15443736,6.367546608,High
48.24816429,328.341636,24.37365154,58.28210814,7.66573819,High
11.68982275,1785.008249,21.93219611,42.27389757,6.668059974,High
23.65808557,702.0073508,32.82971697,69.46004534,5.341379376,High
8.840735064,659.5614738,28.81122746,76.0961985,6.425725367,High
49.85934133,1551.260181,33.33638597,78.67595951,1.059609613,Low
27.59877546,844.0273922,34.0674081,47.4908143,4.728025792,High
31.79232578,1160.275977,20.80442586,62.20795362,7.912281709,High
8.018441482,576.268811,27.51453953,48.8431606,8.159321977,High
38.74822117,1931.567726,25.62446824,73.10636744,3.760387681,Low
14.44575169,1747.68838,29.38787596,47.89731862,4.863103409,High
45.41244302,1768.442359,31.90386796,85.2081842,1.685382518,Low
14.23128382,991.5153726,24.20885324,51.53173228,7.149138998,High
13.58094743,1596.014063,28.35197577,54.57011331,4.610619433,High
6.644735053,544.5894642,30.6309287,82.54531611,6.398986448,High
26.24301253,314.6523044,22.01646624,62.92338051,8.9350657,High
30.417851,333.9539854,32.21100359,41.19979729,6.029568646,High
7.956888774,1297.222954,29.091644,64.72931256,6.02368101,High
39.89874275,1074.171339,34.24306156,44.22716677,3.291520024,Low
25.39799756,1180.626093,25.09293379,89.26723593,6.037112672,High
28.59756212,312.6873387,21.62218914,69.40557852,8.697685522,High
24.83432361,1018.567253,27.59751802,52.82663088,6.997040771,High
23.03433774,1520.715874,21.28716158,68.18588398,6.797342076,High
30.18381491,1052.579293,34.54289785,43.84335517,5.016275515,High
11.98581107,1544.772651,20.58027437,79.99456521,7.413196324,High
13.18676587,696.1322395,31.30255852,86.26640269,5.425463033,High
43.78035295,1682.341408,27.87653597,83.72221941,2.65917037,Low
47.5751958,1300.333109,25.52930979,57.08788011,4.198579167,High
21.79891923,658.297269,20.98763247,56.28840598,8.375680498,High
17.18351029,702.424809,29.33250386,41.75438056,6.361332943,High
33.97997945,1367.65179,28.77830494,72.57001794,4.378215617,High
23.3930377,1710.897308,24.2132491,66.74523921,5.2465913,High
6.142386005,1006.567229,33.65332552,62.96731857,5.117865739,High
12.02686688,739.1107295,24.56165011,85.38154767,8.185298392,High
37.2187503,1773.919732,26.74588116,48.39394505,4.255675597,High
34.65157739,1437.756096,28.15643684,40.48331333,5.87488997,High
6.219319663,1061.745328,21.50347817,43.66582261,8.353277966,High
14.98874729,1129.430332,33.98242579,51.16857189,4.398311023,High
15.39836585,647.2359955,25.61804229,41.66427746,7.84725502,High
35.23517346,1365.564471,21.21168821,65.14218553,7.009015515,High
5.886974199,909.8622679,25.80936761,55.70452276,6.609130202,High
9.684886189,1992.5968,29.00303821,49.0241504,3.827609975,Low
40.99622384,1116.311976,27.70479008,77.50420375,4.502370347,High
13.03450979,1126.005531,30.41812961,50.22256631,6.4420621,High
34.37357485,1261.948039,20.83225913,74.38025505,6.833063257,High
15.71822515,1858.485205,24.26810915,57.46324529,5.091646953,High
9.474862674,1661.39077,32.28845865,65.59138803,3.306526674,Low
15.94274859,1066.921119,21.19840532,86.69335199,8.512126549,High
37.50201193,1521.788752,32.83228932,41.86758174,2.783716069,Low
43.50634106,1296.600348,21.37844138,65.01322537,5.746203643,High
42.35989391,1137.023983,32.51681322,82.72114802,3.637176692,Low
22.87325883,626.9368137,25.41182602,69.39871242,7.79648988,High
35.06383115,1088.691648,29.18313595,53.84352585,5.574643667,High
14.22429329,717.8915979,22.29330673,59.88405676,8.192308044,High
18.19164786,1855.231655,20.99253083,74.01328144,5.5393766,High
45.33511183,870.1915829,23.23907306,84.54059472,6.096910675,High
5.585086558,1918.848825,21.91780727,42.05331869,7.334202535,High
8.847883888,1206.193993,24.68608847,43.57694109,7.75015336,High
14.35488148,1373.625444,27.7157487,56.25257618,6.534320873,High
6.193949174,1222.998756,28.83139195,51.63898422,5.395224215,High
13.16459458,519.9470488,31.84802161,53.24654431,6.81238633,High
31.23687024,938.8960723,29.8435984,51.06349993,4.737702303,High
23.96410478,468.5483909,29.13137488,49.79125244,7.257328128,High
45.170227,1359.021875,26.17673041,46.53119834,4.702323457,High
41.78496028,1059.686132,27.10712652,86.69770659,4.218301735,High
20.38178083,1622.574452,26.21781244,47.2094732,5.321277506,High
16.6740545,674.7998177,32.63249045,50.22018874,4.999741629,High
22.08615837,579.7622993,23.45000679,52.3132862,8.375114192,High
31.56327241,990.7647926,20.08581397,86.65074366,6.995211034,High
17.06286384,1875.195151,29.76979846,77.78570668,4.00296195,High
33.08670085,1507.717086,23.03693275,79.48497152,5.84947957,High
23.42352435,1012.170162,33.35172704,45.23791298,5.438285612,High
29.84212314,1179.362689,32.88569495,81.81549375,3.530313849,Low
24.62569381,443.162119,21.15091058,60.40965409,9.289263699,High
18.25095918,1973.779024,21.59582608,53.14115131,6.998373049,High
47.68039881,1432.892418,27.42757388,68.78750418,3.532341627,Low
39.36226074,785.1869164,29.13833994,81.10914529,4.053699136,High
11.30509291,1295.87427,24.12362506,78.93260755,6.827304174,High
44.08105892,486.1200223,30.75196575,84.49987413,3.896803067,Low
26.93440392,1941.922337,28.92374031,86.4066093,4.291150186,High
45.25485021,597.1344794,24.87236165,51.90610357,7.470907111,High
40.99348652,1401.651541,20.38057232,61.19289471,7.590981169,High
24.1346077,717.2725863,31.25225422,40.73142696,5.899643126,High
6.011118874,1519.854351,23.22130499,83.96608296,6.989308997,High
17.09048117,1620.596324,32.51710615,47.72860757,3.66484158,Low
29.37353966,1444.813539,26.3043539,83.07374062,5.230377359,High
33.50651989,1344.649082,28.65616164,56.4693661,4.001368421,High
16.60494584,1817.19746,33.09423096,58.4066795,1.867408317,Low
11.27102333,433.6654087,32.95434501,41.95661272,6.148326948,High
42.57186066,862.5551018,25.57279363,56.34393949,5.319843147,High
49.29809813,722.0887154,23.13333339,84.41818414,6.901517331,High
28.6560582,1979.623736,31.62719117,41.27737006,3.902083595,Low
12.72556786,961.9626254,26.49620305,60.31637365,6.283143431,High
17.25382969,1545.441589,22.8806299,41.56998149,7.696694541,High
5.827580445,1464.032779,33.56638013,58.54617126,4.715410447,High
46.1434463,660.5381037,22.97156291,48.63203204,6.422753621,High
10.29879873,706.2960564,20.38710752,52.61091966,9.408983535,High
30.9432414,778.183758,20.30419961,83.87991866,7.537530298,High
17.33248493,998.916373,29.33473035,61.80246103,6.173072382,High
29.93801011,698.3526116,29.92512591,53.68989957,5.140668831,High
34.31391748,333.4075207,24.66562558,69.4669189,7.479026721,High
42.33838117,1794.968197,24.80016484,47.10534799,4.268020885,High
14.28895723,1941.536713,25.09240873,52.96958037,5.752035078,High
5.49481229,880.669658,30.2023782,67.31239838,6.148562626,High
11.15985335,875.461695,20.87200687,51.87615209,8.824335989,High
45.50083888,312.0560817,33.93674529,73.95638687,4.03404628,High
44.32505349,1456.42617,23.33781566,64.57456511,6.296080401,High
31.8835896,1703.247823,34.99509808,78.59945351,1.420356563,Low
32.02325872,549.2341106,22.57284041,87.41222679,6.959769576,High
34.92665035,571.4327939,31.57319686,45.79024447,5.714754732,High
12.89170754,1643.141525,23.35118817,56.7332505,6.557347776,High
46.14853757,1347.694272,21.21270202,55.97745314,5.506207942,High
23.84467362,376.262948,33.12399987,47.55914597,6.982605712,High
22.24123377,1358.329884,32.88126889,80.51515687,3.220355267,Low
28.35129674,825.1601288,26.05355589,77.9939352,6.067234708,High
7.113468505,926.8327643,30.53594214,64.22127354,6.12537061,High
12.48275159,1608.543411,28.35598899,66.88853889,5.879266508,High
38.21151274,1678.589828,32.79434171,42.9772069,1.894525395,Low
8.725940057,980.6062656,24.72583954,67.77536762,7.667224176,High
32.14184493,1910.159991,27.855086,79.5670762,4.368356528,High
16.04070994,990.9866205,27.28058557,68.69137868,6.422352359,High
22.51830263,1612.12126,25.30858739,53.26531851,5.074292771,High
17.99121815,1122.59135,33.37182597,73.37741362,3.766961903,Low
21.00527224,1825.804955,22.48816887,58.0744215,6.193628652,High
37.35706573,1843.194114,22.24262959,67.24366421,5.793498281,High
18.3704772,448.6085734,28.65364303,64.37826816,6.830932799,High
30.48820881,1892.038663,29.86241345,59.05875005,3.664939096,Low
26.4222681,1703.409231,22.91928881,75.94389902,4.859719096,High
34.86520244,1645.228214,25.86076163,84.1938056,3.502319662,Low
47.15733827,641.5492775,34.19845764,40.26062592,3.752884375,Low
37.96574437,1668.702655,23.69926134,86.68082596,5.339926911,High
14.67231704,1745.225649,30.02541053,65.5757568,4.191231874,High
6.403241078,791.5555686,31.10224091,75.03659402,6.110228255,High
16.80188199,1918.842133,26.72193049,82.78122831,4.489057718,High
31.77850688,384.7622489,34.0628898,63.35518462,5.410183517,High
7.314161607,554.8457305,31.04985103,81.74870367,5.969560731,High
